Company,Ticker,Model,Neurons,RMSE,MAE,MAPE,Directional_Accuracy
Apple Inc.,AAPL,LSTM_2,2,12.13932721815578,9.304839539013324,4.25623885073288,47.82608695652174
Apple Inc.,AAPL,LSTM_4,4,10.360878961948915,7.620343544500341,3.4760889814717686,45.65217391304348
Apple Inc.,AAPL,LSTM_8,8,10.482688364557593,7.821028675106793,3.635767693381162,45.65217391304348
Apple Inc.,AAPL,LSTM_16,16,9.566765304333542,6.714289164371628,3.1879706920409445,45.65217391304348
Apple Inc.,AAPL,LSTM_32,32,8.948845344458146,6.287431346426766,2.9830002492618477,44.927536231884055
Apple Inc.,AAPL,LSTM_64,64,9.201340633223344,6.4168911940759905,3.044825215246286,44.20289855072464
NVIDIA Corporation,NVDA,LSTM_2,2,55.18450002562227,46.779418670873845,28.009576261667075,52.17391304347826
NVIDIA Corporation,NVDA,LSTM_4,4,42.95230898029272,37.247355179820985,22.327067799069304,53.62318840579711
NVIDIA Corporation,NVDA,LSTM_8,8,38.43258387827082,33.45443736563484,20.196711908919333,52.89855072463768
NVIDIA Corporation,NVDA,LSTM_16,16,21.225385305839996,18.77249441901557,11.937374188834973,52.17391304347826
NVIDIA Corporation,NVDA,LSTM_32,32,24.80699391857612,21.986584121374776,14.094662961968607,55.072463768115945
NVIDIA Corporation,NVDA,LSTM_64,64,10.086942152344658,8.503146768473892,5.636098010180237,54.347826086956516
Eli Lilly and Company,LLY,LSTM_2,2,48.006498490352136,37.88895597389276,5.094274737451692,47.82608695652174
Eli Lilly and Company,LLY,LSTM_4,4,48.03209579233546,37.210444827731564,4.988302697434191,46.3768115942029
Eli Lilly and Company,LLY,LSTM_8,8,49.60535623531619,38.84681624817333,5.218483248262026,46.3768115942029
Eli Lilly and Company,LLY,LSTM_16,16,45.56786162704089,33.39736433509442,4.408837183804013,47.10144927536232
Eli Lilly and Company,LLY,LSTM_32,32,46.13669361254245,33.81637463466727,4.458375674202663,46.3768115942029
Eli Lilly and Company,LLY,LSTM_64,64,42.58223366981369,30.947814502304407,4.062049928433537,47.82608695652174
Novo Nordisk A/S,NVO,LSTM_2,2,36.16571953039973,35.50857736052369,58.91616682298194,44.927536231884055
Novo Nordisk A/S,NVO,LSTM_4,4,32.35229854942891,31.55581824213481,52.56647820783983,42.028985507246375
Novo Nordisk A/S,NVO,LSTM_8,8,36.124709134472596,35.45033703262,58.8381608143217,41.30434782608695
Novo Nordisk A/S,NVO,LSTM_16,16,25.178151263767823,24.349687150914033,40.7255930369404,39.130434782608695
Novo Nordisk A/S,NVO,LSTM_32,32,23.17039946829841,22.16314549068753,37.266924648157406,38.405797101449274
Novo Nordisk A/S,NVO,LSTM_64,64,16.732996757655442,15.850942762635595,26.600809071677663,39.85507246376812
Genentech (Roche),DNA,LSTM_2,2,3.18014788189286,2.6042688596162864,23.54450980662184,54.347826086956516
Genentech (Roche),DNA,LSTM_4,4,4.5702741602831,3.900142861784791,35.95534036883388,57.2463768115942
Genentech (Roche),DNA,LSTM_8,8,1.9706112957442072,1.4748519273113003,13.623880065623275,39.130434782608695
Genentech (Roche),DNA,LSTM_16,16,1.6982246876107445,1.214972159845366,11.048349706315216,39.85507246376812
Genentech (Roche),DNA,LSTM_32,32,1.557857319145298,1.1234386910637506,10.260086238622474,42.028985507246375
Genentech (Roche),DNA,LSTM_64,64,1.497026753525951,1.068586267155709,9.692062997444099,42.7536231884058
