title,description,pub_date,sentiment_score,sentiment_label,ticker,company_name,source,link,analysis_text
Novo Nordisk A/S Reports Q3 2023 Earnings Results,Novo Nordisk A/S announces Q3 2023 Earnings financial results with strong performance.,2023-10-25,0.8,good,NVO,Novo Nordisk A/S,Simulated Earnings Events,https://example.com/earnings/NVO/2023-10-25,Novo Nordisk A/S Reports Q3 2023 Earnings Results Novo Nordisk A/S announces Q3 2023 Earnings financial results with strong performance.
Novo Nordisk Faces Supply Constraints,Novo Nordisk struggles with supply constraints for popular weight loss drugs.,2023-11-14,-0.6,bad,NVO,Novo Nordisk A/S,Historical Events Database,https://example.com/news/NVO/2023-11-14,Novo Nordisk Faces Supply Constraints Novo Nordisk struggles with supply constraints for popular weight loss drugs.
Novo Nordisk A/S - Holiday Season Performance,Company reports strong performance during holiday season.,2023-12-10,-0.01532819641617017,neutral,NVO,Novo Nordisk A/S,Simulated Market Events,https://example.com/market/NVO/2023-12-10,Novo Nordisk A/S - Holiday Season Performance Company reports strong performance during holiday season.
Novo Nordisk A/S Reports Q4 2023 Earnings Results,Novo Nordisk A/S announces Q4 2023 Earnings financial results with mixed performance.,2024-01-25,-0.4,bad,NVO,Novo Nordisk A/S,Simulated Earnings Events,https://example.com/earnings/NVO/2024-01-25,Novo Nordisk A/S Reports Q4 2023 Earnings Results Novo Nordisk A/S announces Q4 2023 Earnings financial results with mixed performance.
Novo Nordisk Reports Record Revenue,Novo Nordisk posts record quarterly revenue driven by strong demand for GLP-1 drugs.,2024-02-07,0.8,good,NVO,Novo Nordisk A/S,Historical Events Database,https://example.com/news/NVO/2024-02-07,Novo Nordisk Reports Record Revenue Novo Nordisk posts record quarterly revenue driven by strong demand for GLP-1 drugs.
Novo Nordisk A/S - Market Analysis Update,Analysts provide updated market analysis and price targets.,2024-03-15,0.14257615351398673,neutral,NVO,Novo Nordisk A/S,Simulated Market Events,https://example.com/market/NVO/2024-03-15,Novo Nordisk A/S - Market Analysis Update Analysts provide updated market analysis and price targets.
Novo Nordisk Ozempic Sales Surge,"Novo Nordisk reports record sales of Ozempic diabetes drug, exceeding market expectations.",2024-04-15,0.9,good,NVO,Novo Nordisk A/S,Historical Events Database,https://example.com/news/NVO/2024-04-15,"Novo Nordisk Ozempic Sales Surge Novo Nordisk reports record sales of Ozempic diabetes drug, exceeding market expectations."
Novo Nordisk A/S Reports Q1 2024 Earnings Results,Novo Nordisk A/S announces Q1 2024 Earnings financial results with strong performance.,2024-04-25,0.7,good,NVO,Novo Nordisk A/S,Simulated Earnings Events,https://example.com/earnings/NVO/2024-04-25,Novo Nordisk A/S Reports Q1 2024 Earnings Results Novo Nordisk A/S announces Q1 2024 Earnings financial results with strong performance.
Novo Nordisk A/S - Industry Conference Participation,Company participates in major industry conference with positive reception.,2024-06-10,0.34882791395999685,good,NVO,Novo Nordisk A/S,Simulated Market Events,https://example.com/market/NVO/2024-06-10,Novo Nordisk A/S - Industry Conference Participation Company participates in major industry conference with positive reception.
Novo Nordisk Wegovy Gets Expanded Approval,FDA expands approval for Novo Nordisk's Wegovy weight loss drug to broader patient population.,2024-07-22,0.8,good,NVO,Novo Nordisk A/S,Historical Events Database,https://example.com/news/NVO/2024-07-22,Novo Nordisk Wegovy Gets Expanded Approval FDA expands approval for Novo Nordisk's Wegovy weight loss drug to broader patient population.
Novo Nordisk A/S Reports Q2 2024 Earnings Results,Novo Nordisk A/S announces Q2 2024 Earnings financial results with mixed performance.,2024-07-25,-0.4,bad,NVO,Novo Nordisk A/S,Simulated Earnings Events,https://example.com/earnings/NVO/2024-07-25,Novo Nordisk A/S Reports Q2 2024 Earnings Results Novo Nordisk A/S announces Q2 2024 Earnings financial results with mixed performance.
Novo Nordisk A/S - Regulatory Update,Company provides update on regulatory matters and compliance.,2024-09-05,0.5596368621875898,good,NVO,Novo Nordisk A/S,Simulated Market Events,https://example.com/market/NVO/2024-09-05,Novo Nordisk A/S - Regulatory Update Company provides update on regulatory matters and compliance.
Novo Nordisk Announces New Manufacturing Plant,Novo Nordisk announces construction of new manufacturing facility to address supply issues.,2024-10-02,0.7,good,NVO,Novo Nordisk A/S,Historical Events Database,https://example.com/news/NVO/2024-10-02,Novo Nordisk Announces New Manufacturing Plant Novo Nordisk announces construction of new manufacturing facility to address supply issues.
Novo Nordisk A/S Reports Q3 2024 Earnings Results,Novo Nordisk A/S announces Q3 2024 Earnings financial results with strong performance.,2024-10-25,0.8,good,NVO,Novo Nordisk A/S,Simulated Earnings Events,https://example.com/earnings/NVO/2024-10-25,Novo Nordisk A/S Reports Q3 2024 Earnings Results Novo Nordisk A/S announces Q3 2024 Earnings financial results with strong performance.
Novo Nordisk A/S - Year-End Guidance Update,Company updates full-year guidance based on current performance.,2024-11-20,-0.1961168724480103,neutral,NVO,Novo Nordisk A/S,Simulated Market Events,https://example.com/market/NVO/2024-11-20,Novo Nordisk A/S - Year-End Guidance Update Company updates full-year guidance based on current performance.
