title,description,link,pub_date,source,ticker,company_name,sentiment_score,sentiment_label,analysis_text
‘My family is having a crisis’: My mom added my brother to her mortgage. He stopped paying. How does she get him off it?,“He refuses to take their names off the mortgage without getting paid.”,https://www.marketwatch.com/story/my-family-is-having-a-crisis-my-mom-added-my-brother-to-her-mortgage-he-stopped-paying-how-does-she-get-him-off-it-960f55b0?mod=mw_rss_topstories,2025-10-18 22:20:00,https://feeds.marketwatch.com/marketwatch/topstories/,NVDA,NVIDIA Corporation,0.0,neutral,‘My family is having a crisis’: My mom added my brother to her mortgage. He stopped paying. How does she get him off it? “He refuses to take their names off the mortgage without getting paid.”
Singapore Law Firm to Sue Switzerland Over Asia Losses on AT1s,"One of Singapore’s biggest law firms is set to file claims against the Swiss government by the end of the year, seeking compensation for hundreds of Asian bondholders of Credit Suisse AT1 debt that was wiped out in 2023.",https://www.bloomberg.com/news/articles/2025-10-19/singapore-law-firm-to-sue-switzerland-over-asia-losses-on-at1s,2025-10-19 06:18:31,https://feeds.bloomberg.com/markets/news.rss,NVDA,NVIDIA Corporation,0.0,neutral,"Singapore Law Firm to Sue Switzerland Over Asia Losses on AT1s One of Singapore’s biggest law firms is set to file claims against the Swiss government by the end of the year, seeking compensation for hundreds of Asian bondholders of Credit Suisse AT1 debt that was wiped out in 2023."
Australia Prime Minister to Meet Trump With Rare Earths in Focus,Australian Prime Minister Anthony Albanese is expected to meet US President Donald Trump on Monday in Washington for talks that will include discussions over the supply chain of rare earth materials.,https://www.bloomberg.com/news/articles/2025-10-19/australia-prime-minister-to-meet-trump-with-rare-earths-in-focus,2025-10-19 04:52:43,https://feeds.bloomberg.com/markets/news.rss,NVDA,NVIDIA Corporation,0.0,neutral,Australia Prime Minister to Meet Trump With Rare Earths in Focus Australian Prime Minister Anthony Albanese is expected to meet US President Donald Trump on Monday in Washington for talks that will include discussions over the supply chain of rare earth materials.
Bubble Debate Drives Korean Retail Investors to Risky VIX Bets,Investors in South Korea looking to hedge their big US stock holdings or play their next wager are embracing a new type of trades: leveraged VIX bets.,https://www.bloomberg.com/news/articles/2025-10-19/bubble-debate-drives-korean-retail-investors-to-risky-vix-bets,2025-10-19 00:00:00,https://feeds.bloomberg.com/markets/news.rss,NVDA,NVIDIA Corporation,-1.0,bad,Bubble Debate Drives Korean Retail Investors to Risky VIX Bets Investors in South Korea looking to hedge their big US stock holdings or play their next wager are embracing a new type of trades: leveraged VIX bets.
Protesters Oppose Trump in ‘No Kings’ Event in NYC,"Demonstrators across the US turned out for what organizers said would be more than 2,600 “No Kings” protests across the US to express their opposition to President Donald Trump’s agenda. (Source: Bloomberg)",https://www.bloomberg.com/news/videos/2025-10-18/protesters-oppose-trump-in-no-kings-event-in-nyc,2025-10-18 22:31:57,https://feeds.bloomberg.com/markets/news.rss,NVDA,NVIDIA Corporation,0.0,neutral,"Protesters Oppose Trump in ‘No Kings’ Event in NYC Demonstrators across the US turned out for what organizers said would be more than 2,600 “No Kings” protests across the US to express their opposition to President Donald Trump’s agenda. (Source: Bloomberg)"
Global Finance Chiefs Wait on Trump and Xi as Trade War Simmers,"After a week of talks dominated by trade spats and geopolitical distrust, finance chiefs were once again left hanging on the outcome of a potential meeting between the leaders of the world’s two largest economies.",https://www.bloomberg.com/news/articles/2025-10-17/global-finance-chiefs-urged-to-keep-calm-as-trade-war-escalates,2025-10-17 18:53:18,https://feeds.bloomberg.com/markets/news.rss,NVDA,NVIDIA Corporation,1.0,good,"Global Finance Chiefs Wait on Trump and Xi as Trade War Simmers After a week of talks dominated by trade spats and geopolitical distrust, finance chiefs were once again left hanging on the outcome of a potential meeting between the leaders of the world’s two largest economies."
Subprime Lender PrimaLend’s Creditors Eye Bankruptcy Push,"Creditors of PrimaLend, which provides financing to auto dealerships that cater to subprime borrowers, are weighing pushing the firm into bankruptcy after going unpaid for months, and as the industry reels from the recent downfall of Tricolor Holdings.",https://www.bloomberg.com/news/articles/2025-10-17/subprime-lender-primalend-s-unpaid-creditors-eye-bankruptcy-push,2025-10-17 17:45:40,https://feeds.bloomberg.com/markets/news.rss,NVDA,NVIDIA Corporation,0.0,neutral,"Subprime Lender PrimaLend’s Creditors Eye Bankruptcy Push Creditors of PrimaLend, which provides financing to auto dealerships that cater to subprime borrowers, are weighing pushing the firm into bankruptcy after going unpaid for months, and as the industry reels from the recent downfall of Tricolor Holdings."
"Protesters Take Part in A ""No Kings"" in Washington, D.C.","Protesters take part in a ""No Kings"" protest against President Donald Trump's policies in  Washington, D.C. (Source: Bloomberg)",https://www.bloomberg.com/news/videos/2025-10-18/protesters-take-part-in-a-no-kings-in-washington-d-c,2025-10-18 16:44:07,https://feeds.bloomberg.com/markets/news.rss,NVDA,NVIDIA Corporation,1.0,good,"Protesters Take Part in A ""No Kings"" in Washington, D.C. Protesters take part in a ""No Kings"" protest against President Donald Trump's policies in  Washington, D.C. (Source: Bloomberg)"
ECB’s Nagel Says Inflation Pretty Much on Target for Next Years,"Euro-area inflation will probably meet the European Central Bank’s 2% goal over the coming years, according to Bundesbank President Joachim Nagel said.",https://www.bloomberg.com/news/articles/2025-10-18/ecb-s-nagel-says-inflation-pretty-much-on-target-for-next-years,2025-10-18 12:59:33,https://feeds.bloomberg.com/markets/news.rss,NVDA,NVIDIA Corporation,0.0,neutral,"ECB’s Nagel Says Inflation Pretty Much on Target for Next Years Euro-area inflation will probably meet the European Central Bank’s 2% goal over the coming years, according to Bundesbank President Joachim Nagel said."
"Sold Out in India, Panic in London: How the Silver Market Broke","For months, Vipin Raina had been bracing for a stampede of buying from Indian customers loading up on silver to honor the Hindu goddess of wealth.",https://www.bloomberg.com/news/articles/2025-10-18/sold-out-in-india-panic-in-london-how-the-silver-market-broke,2025-10-18 12:42:43,https://feeds.bloomberg.com/markets/news.rss,NVDA,NVIDIA Corporation,0.0,neutral,"Sold Out in India, Panic in London: How the Silver Market Broke For months, Vipin Raina had been bracing for a stampede of buying from Indian customers loading up on silver to honor the Hindu goddess of wealth."
